,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
H2A.H4R3me2,0.10113737801700733,1.5151605600533653,2.2023106473752216,2.789130190680643,3.1633268006409176,3.3635775320834616,3.5625245994829338
H2AZ,1.1708313547753102,2.88548653632663,3.5746527809352338,4.184155766453937,4.5484856810619005,4.772735933176875,4.95004548867478
H2BK5me1,1.9001527367637985,4.115482278004688,5.0584263470045325,5.957684942055639,6.473690870762614,6.832163189519196,7.106175715182758
H3K4me1,2.491379190178697,4.77181800872141,5.759322245884094,6.71903673658435,7.275992092798437,7.669146334709861,7.973276488651692
H3K4me2,2.3705382645622866,4.664240323515887,5.61471069302373,6.544412839836386,7.083249073660028,7.462503178340884,7.753474620545987
H3K4me3,2.2972408534883666,4.151472095980891,5.003490413076316,5.819589126470176,6.294368873256749,6.615011190555471,6.856859830122699
H3K9me1,1.943021895107158,4.24219753984349,5.235251138230802,6.2150752798289375,6.783450533071097,7.185649616098634,7.496524900591861
H3K9me2,0.24160598874554529,1.7559650839710461,2.262789159816655,2.749911870349585,3.014108659813149,3.1924068570793733,3.3294755233341666
H3K9me3,0.08161852502837504,0.49496095468965706,0.7260788395754363,0.9205025592030827,0.9982745430991249,1.065147443847241,1.0999260597550973
H3K27me1,0.8671663449571702,3.0845450944080453,4.006874858720678,4.875471216577582,5.3873417906562056,5.728996530716345,5.986325023069114
H3K27me2,0.06715021809202514,1.2799886766364006,1.8183098274784706,2.239825834034122,2.5288009625909513,2.6642813311119786,2.820259674605361
H3K27me3,0.10688294460215463,1.220434732448759,1.7176544880257114,2.138963908976872,2.3750012492686903,2.531731105016782,2.641549593342244
H3K36me1,0.17901976736909075,2.1006958966318185,2.9495016673792045,3.724330736708987,4.197059106422356,4.482530109369588,4.730643600030974
H3K36me3,0.719376268003401,2.6201892965235793,3.433060220288,4.165899935626545,4.61069587116728,4.884630483450986,5.122814757292989
H3K79me1,0.10401878308879473,1.9415586836110819,2.814613432989103,3.6263306749166246,4.111599395362987,4.414299119868335,4.672210099486788
H3K79me2,0.00789442447245502,0.47811412200724623,0.7322857662658261,0.9485714852579902,1.0306045924037404,1.107653421247629,1.1430496689214662
H3K79me3,0.2846704489163062,1.9194478733522602,2.674377467775354,3.32968538075368,3.735817918826038,3.968329632142756,4.1825250443419195
H3R2me1,0.30216335174114684,2.312257861447477,3.183365943998528,3.98415919861295,4.46142725762671,4.768788514404303,5.02607668666001
H3R2me2,0.14525693042120555,1.6263646748990759,2.2781950404408065,2.8322921707322783,3.1877852056338774,3.3758662715648033,3.563513873853327
H4K20me1,2.2580854411459392,4.34360571599437,5.24809729866079,6.0996420454514855,6.5854241996041125,6.923883733401153,7.183184176139904
H4K20me3,0.25417292282509196,1.1966393866499507,1.678575334818362,2.0517939879752896,2.294891364068696,2.414833812322715,2.5452519509347096
H3K4ac,1.2016115768996811,3.38639938408372,4.301186318582626,5.159563954660908,5.6355037015820155,5.99828101659058,6.256380372758532
H3K9ac,1.1999845629045147,3.147733064547222,3.9778307364323675,4.728078931915652,5.137660535887439,5.462749169946973,5.681978085032598
H3K14ac,0.05954259441178537,1.6164417596326501,2.3331430204001817,2.9531463288956403,3.3462454215141064,3.5583377905110725,3.7708913250710223
H3K18ac,1.680618057556487,3.884242100672032,4.811195933931754,5.680141087989611,6.178530319776559,6.521275166334501,6.804746584502714
H3K23ac,0.6280096157132152,2.551105085369607,3.1911784485306334,3.781983671799997,4.144753785316809,4.35081379490878,4.5176865181488175
H3K27ac,1.783957100300304,3.9573519647052904,4.878527825603122,5.736909839015415,6.226871789798787,6.566007349028651,6.861328728673167
H3K36ac,1.0773494797405403,3.1758366967570875,4.058354969056735,4.87209287809468,5.375423329862794,5.665427294544172,5.907772365428201
H4K5ac,1.2119415333613683,3.4203966701814092,4.346576521706203,5.222561365734662,5.711842971602542,6.0793524360766105,6.3458943939780115
H4K8ac,1.042375333095584,3.198266806817422,4.110487753959922,4.955233698170441,5.465096597480282,5.783482698924465,6.038572688441008
H4K12ac,1.7043753956043164,3.9892560198680376,4.966920145935945,5.914528139680656,6.465436293603602,6.845734148686268,7.152626907216233
H4K16ac,0.674889054808864,2.8542283155211234,3.8015749766304823,4.700222285036471,5.225683178158403,5.581112773204944,5.8428729180229695
H4K91ac,2.1372427206377846,4.311491484061313,5.147970343455932,5.951040061883954,6.408347963593822,6.728132208004826,6.982465867124919
H2AK5ac,0.5160066733767614,2.3999593702043494,3.152315827789703,3.797493159164749,4.1558769583015,4.400947669106025,4.587290448346046
H2AK9ac,0.16371733497659693,1.4479295952280564,1.9828993011956428,2.4162083506338394,2.6978622845716167,2.8429288042546843,2.9920332574240387
H2BK5ac,0.9873397042913064,2.928631814547773,3.7241301334373067,4.43202509848093,4.857602226352623,5.118575695319586,5.324171262907086
H2BK12ac,0.9104706704881996,2.936111214268149,3.776072888637581,4.539811983608785,4.997479006291077,5.29236699548226,5.503743395556826
H2BK20ac,1.4464805294092875,3.6561945243949934,4.583102450241691,5.45417781781822,5.944575887840866,6.308905367620056,6.568858618215199
H2BK120ac,1.552622946110412,3.7443339494019874,4.66943895693422,5.538880295075375,6.027691677984122,6.407360404087097,6.649234016430558
