triplet_name,feature1,feature2,feature3,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
triplet_1_H3K9ac_vs_H3K4me_vs_H4K5ac,H3K9ac,H3K4me,H4K5ac,5.7925509317517525,12.27432269113893,14.611847569472632,15.742126209994693,15.930754106593996,15.967201600003875,15.993902801594635
triplet_2_H3K36me_vs_H3K27ac_vs_H3K18ac,H3K36me,H3K27ac,H3K18ac,4.600362930017012,10.757320336676532,13.38554491087146,15.214235249773937,15.704095052729599,15.873772962834565,15.925303454467853
triplet_3_H3S10ph_vs_H3K79me3_vs_H3K4me2,H3S10ph,H3K79me3,H3K4me2,5.773507990066356,12.16860762752912,14.542452692612608,15.724192520862536,15.923618047597287,15.965803257817022,15.989106769911293
triplet_4_H4K20me_vs_H3K36me3_vs_H4K8ac,H4K20me,H3K36me3,H4K8ac,4.834011716954638,11.10215977034835,13.720765647319961,15.413543542587844,15.793272738738564,15.92746722744915,15.956963481972425
triplet_5_H3K14ac_vs_Htz1_vs_H3K36me2,H3K14ac,Htz1,H3K36me2,5.438376257388754,11.799228896282719,14.245773560629608,15.6109822205727,15.881263960748132,15.941788836288188,15.977370285771196
triplet_6_H3K4me2_vs_H3K4me_vs_H3S10ph,H3K4me2,H3K4me,H3S10ph,5.520602429835413,11.810196028941448,14.272398680606923,15.6436797448274,15.89567932081736,15.951089846687449,15.981434097887542
triplet_7_H4K5ac_vs_H3S10ph_vs_Htz1,H4K5ac,H3S10ph,Htz1,5.035687872808013,11.460222812877685,13.959158726049761,15.504285977583985,15.839446349759733,15.918216159939844,15.968833074725191
triplet_8_H4K16ac_vs_H4K12ac_vs_H3K4me3,H4K16ac,H4K12ac,H3K4me3,5.348619622479646,11.754033695818073,14.236403414776282,15.615831908754286,15.876459952497386,15.957977998436142,15.979933248399806
triplet_9_H3K9ac_vs_H3S10ph_vs_H3K4ac,H3K9ac,H3S10ph,H3K4ac,4.612288826716568,10.674499519477113,13.320440312064623,15.221399556386435,15.73067843278063,15.851079737388318,15.930314707626305
triplet_10_H3K36me_vs_Htz1_vs_H4K20me,H3K36me,Htz1,H4K20me,5.307697232959395,11.752721306999021,14.217801529383188,15.574807366365611,15.851840065233889,15.938815897582412,15.987181296169418
triplet_11_Htz1_vs_H3K14ac_vs_H3K23ac,Htz1,H3K14ac,H3K23ac,4.922425470341847,11.07020803967164,13.700915394064074,15.424864798387373,15.816734225125533,15.900650891085569,15.957953153039947
triplet_12_H2AK5ac_vs_H3K79me3_vs_H3K56ac,H2AK5ac,H3K79me3,H3K56ac,5.740144722116667,12.16516881632107,14.53453260421404,15.70310926315659,15.90894686649313,15.962672238565805,15.995644044437034
triplet_13_H3K14ac_vs_H4K16ac_vs_H3K4me2,H3K14ac,H4K16ac,H3K4me2,5.926940420555999,12.335205325642557,14.661941942351337,15.758779879233817,15.934266141705898,15.973233905044918,15.994938890918053
triplet_14_H3K9ac_vs_H4R3me_vs_H4K20me,H3K9ac,H4R3me,H4K20me,4.915396766884221,11.338789425661338,13.909745152838827,15.502210502482168,15.846496507557081,15.918600122829263,15.968206961478934
triplet_15_H3K18ac_vs_H3S10ph_vs_H3K36me,H3K18ac,H3S10ph,H3K36me,4.93452220349217,11.145126638655585,13.692531016754957,15.35386947583769,15.769018177903803,15.904819504564818,15.94827747190621
