original_triplet                      , mmi_value          , total_correlation_value
"('H4K16ac', 'H4R3me2s', 'H3K14ac')"  , -0.4002279679730165,                1.064411
"('H3K4me', 'H3K36me3', 'H3K4me2')"   , -0.4049461544781074,                1.188524
"('H3K4me2', 'H3K36me3', 'H3K18ac')"  , -0.4075262837956366,                1.333379
"('H3K4me2', 'H3K36me3', 'H3K14ac')"  , -0.4100847164344792,                1.367417
"('H4K16ac', 'H4R3me2s', 'H4K8ac')"   , -0.41531987092959  ,                1.085656
"('H3K36me2', 'H3K36me3', 'H3K4me2')" , -0.4191790822912953,                1.273684
"('H3K36me3', 'H2AS129ph', 'H3K4me3')", -0.4245562657107449,                1.004173
"('H3K4me2', 'H3K4me', 'H3K14ac')"    , -0.431367700081001 ,                1.579793
"('H3K36me2', 'H3K36me3', 'H3K4me3')" , -0.4416278804841393,                1.241656
"('H3K36me3', 'H2AS129ph', 'H3K18ac')", -0.4507704061283135,                1.076867
"('H4K16ac', 'H4R3me2s', 'H3K4ac')"   , -0.4821975983680282,                1.219423
